id,GroupName,Prefectures,PostalCode,Address,TelephoneNumber,Email,HomePage,Philosophy,Product,Deadline,Condition,Offer,NorthLa-EastLon
11,特定非営利活動法人いのちのパン,宮城県,985-0831,宮城県多賀城市笠神 2－11－45 ,080-5552-5594,info@breadoflife.jp,http://www.breadoflife.jp,この法人は、キリスト教精神に基づいて～明るく豊かな社会の実現に、寄与することを目的とする。,加工食品（常温）、加工食品（冷蔵）、加工食品（冷凍）、農産物、水産物・畜産物など,1,賞味期限が１週間以内であっても、賞味期限までの日数が残っているもの,児童養護施設、障害者施設、生活困窮者支援団体、個人支援、炊き出し、災害支援団体、学校外学習生活支援団体、 子ども食堂等,"[38.300213, 141.031022]"
12,コープ東北サンネット事業連合 コープフードバンク,宮城県,981-3304,宮城県富谷市ひより台 2－1－8,080-5849-6315,sn.m32700rn@todock.coop,https://www.tohoku.coop/foodbank/index.html,食品ロスの削減と、安心して暮らせる地域社会つくり。,加工食品（常温）、加工食品（冷凍）、農産物、水産物・畜産物,90,賞味期限が３ヶ月以上残っているものなど,"児童養護施設、母子生活支援施設、シェルター、自立援助、ホーム、更生支援施設、障害者施設、生活困窮者支援団体、炊き出し、災害支援団体、学校外学習生活支援団体、子ども食堂等
子ども食堂等","[38.2496828, 140.9434748]"
13,一般社団法人フードバンクいしのまき,宮城県,986-0813,宮城県石巻市駅前北通り 4 丁目 10-26-3,0225-98-5996,ishinomaki.fb@gmail.com,http://foodbank-i.com,フードセーフティーネットの構築と食品ロスの削減を目的とし、理想的な循環型社会の形成を図る,加工食品（常温）・菓子 清涼飲料 米・乾麺類・調味料等,30,常温保存が可能で配布食品は未開封・未使用、賞味期限１カ月前,生活困窮者自立相談支援センター、社会福祉協議会、地域交流活動、子ども食堂,"[38.437036, 141.300146]"
14,特定非営利活動法人 ふうどばんく東北ＡＧＡＩＮ,宮城県,981-3341,宮城県富谷市成田 8－1－1,022-779-7150,info@foodbank.or.jp,https://www.foodbank.or.jp,「もったいない」を「ありがとう」の笑顔へ。,加工食品（常温）、米など,30,賞味期限が１ヶ月以上残っているもの,児童養護施設、母子生活支援施設、シェルター、自立援助ホーム、更生支援施設、障害者施設、生活困窮者支援団体、個人支援、炊き出し、グループホーム、災害支援団体、子ども食堂等,"[38.2496828, 140.9434748]"
15,一般社団法人フードバンクあきた,秋田県,011-0945,秋田県秋田市土崎港西二丁目 3－24,080-4519-6525,info@foodbankakita.com,http://foodbankakita.com,「もったいない」から「ありがとう」。,加工食品（常温）、農産物,30,賞味期限が１ヶ月以上残っているもの,児童養護施設、母子生活支援施設、自立援助ホーム、更生支援施設、障害者施設、生活困窮者支援団体、個人支援、災害支援団体、学校外学習生活支援団体、子ども食堂等,"[39.7197629, 140.1034669]"
16,特定非営利活動法人 フードバンク山形,山形県,992-0011,山形県米沢市中田町 779－1,0238-37-3282,foodbankyamagata@gmail.com,#N/A,“もったいない”を理念とし余剰食品を提供してもらい福祉施設・困きゅう者へ届ける、又社会的支援・災害支援活動 など。,加工食品（常温）、農産物など,1,賞味期限が１週間以内であっても、賞味期限までの日数が残っているもの,母子生活支援施設、シェルター、自立援助ホーム、障害者施設、生活困窮者支援団体、子ども食堂等,"[38.4746705, 140.083237]"
17,やまがた福わたし（フードバンク山形中央）,山形県,999-0834,山形県山形市清住町 1－2－13－A101,050-5309-9702,info@fukuwatashi.com,https://fukuwatashi.com/wp/,食のセーフティネットとして、様々な理由で食の支援を必要とする方を支援する事を目的とする。,加工食品（常温）、加工食品（冷蔵）、加工食品（冷凍）、農産物など,30,賞味期限が１ヶ月以上残っているもの,生活困窮者支援団体、個人支援、老人施設、学校外学習生活支援団体、子ども食堂等,"[38.4746705, 140.083237]"
18,社会福祉法人郡山市社会福祉協議会,福島県,963-8024,福島県郡山市朝日 1－29－9,024-932-5311,k-shakyo-f@violin.ocn.ne.jp,https://koriyama-shakyo.jp/,地域福祉の推進。,加工食品（常温）、農産物,30,賞味期限が１ヶ月以上残っているもの,個人支援,"[37.5212863, 140.043482]"
19,福島県いわき市小名浜君ケ塚町 13－6,福島県,971-8168,福島県いわき市小名浜君ケ塚町 13－6,0246-52-2511,the-people@email.plala.or.jp,http://npo-thepeople.com/,この法人は、自分たちが住むまちの問題を、自分たち自身が考え、その解決のため主体的に行動する。そうした住民の存在がこれからの地域を支える基盤であると考え「住民主体のまちづくり」を進めることを大きな活動の目的とする。,加工食品（常温）,30,賞味期限が１ヶ月以上残っているもの,児童養護施設、母子生活支援施設、障害者施設、生活困窮者支援団体、子ども食堂等,"[36.959054, 140.898328]"
20,特定非営利活動法人 ＦＵＫＵＳＨＩＭＡいのちの水,福島県,963-0107,福島県郡山市安積 1－3－5,090-7079-5011,fukushimainochinomizu@gmail.com,http://fukushimainochinomizu.com,「ひとりの子のいのちを救うために」というキャッチフレーズのもと、危機の中にいる弱者（子供）のいのちを守ること。,加工食品（常温）、加工食品（冷蔵）、加工食品（冷凍）、米など,90,賞味期限が３ヶ月以上残っているもの,児童養護施設、母子生活支援施設、シェルター、生活困窮者支援団体、個人支援、炊き出し、災害支援団体、学校外学習生活支援団体、子ども食堂等,"[37.5212863, 140.043482]"
21,特定非営利活動法人 福島やさい畑～復興プロジェクト,福島県,964-0906,福島県二本松市若宮 1－370,0243-24-7444,yasaibatake2012@gmail.com,http://fukushimayasaibatake.web.fc2.com,東日本大震災から９月め、被災者は仮設から復興住宅等へ 移転されましたが、故郷へ戻れる状態ではないために、いまだ生活が宙ぶらりで将来に希望を見出すことができない人が多くおられます。日本の貧困層は１５．６％と発表されましたが、福島ではもっと多くなっています。この現実を踏まえ、皆様からのご協力を得ながら「一人の困窮者もいない社会」を目指していきたいと思います,加工食品（常温）、農産物,30,賞味期限が１ヶ月以上残っているもの,児童養護施設、障害者施設、個人支援、炊き出し、子ども食堂等,"[37.5850396, 140.4313889]"
22,ＮＰＯ法人フードバンク茨城,茨城県,300-1221,茨城県牛久市牛久町 1024－1 パルシステム茨城栃木うしくセンター内,080-3545-4335,fb.ibaraki@gmail.com,http://sites.google.com/site/fbibaraki/,食べられるのに捨てられる食品を回収して（御寄付頂いて）、食を必要としている人たちを支援している非営利の施設、団体に無償で提供する。,加工食品（常温）、農産物など,60,賞味期限が２ヶ月以上残っているもの,児童養護施設、母子生活支援施設、シェルター、自立援助ホーム、更生支援施設、障害者施設、生活困窮者支援団体、個人支援、炊き出し、老人施設、グループホーム、災害支援団体、学校外学習生活支援団体、子ども食堂等,"[35.9794247, 140.1494034]"
23,鹿沼市社会福祉協議会 地域福祉課 権利擁護係 フード バンクかぬま,栃木県,322-0043,栃木県鹿沼市 931－1,0289-65-5191,kashakyou@kanuma-shakyo.or.jp,http://kanuma-shakyo.or.jp,地域福祉の推進。,加工食品（常温）,30,賞味期限が１ヶ月以上残っているもの,個人支援、子ども食堂,"[36.5672916, 139.7452455]"
24,社会福祉法人 三松会 フルーツガーデンフードバンクさの,栃木県,327-0806,栃木県佐野市犬伏上町 2798 番地,0283-86-9515,fruitgarden@road.ocn.ne.jp,http://fruitgarden.jp ,①個人の尊厳を守り利用者の意向を十分に尊重し、生きることへの感謝をもっていただけるよう、慈悲のこころで支援します。②地域における福祉の拠点を目指します。,加工食品（常温）、農産物など,30,賞味期限が１ヶ月以上残っているもの,個人支援等,"[36.30607, 139.5751145]"
25,とちぎボランティアネットワーク、フードバンク宇都宮,栃木県,320-0027,栃木県宇都宮市塙田 2－5－1 共生ビル 3 階,028-622-0021,info@tochigivnet.jp,https://fbu2189.org/,栃木県内に住む人の自発的な社会活動を促進し、ボランテ ィアの仲間とともに、創意工夫のあふれる郷土をつくる。,加工食品（常温）、農産物,30,賞味期限が１ヶ月以上残っているもの,児童養護施設、自立援助ホーム、障害者施設、個人支援、老人施設、子ども食堂等,"[36.5549677, 139.8828776]"
26,ＮＰＯ法人フードバンクさの,栃木県,327-0806,栃木県佐野市犬伏上町 2798 番地,0283-86-9515,info@fbu2189.org,http://fruitgarden.jp,・個人の尊厳を守り、利用者の意向を十分に尊重し、生きることへの感謝をもっていただけるよう、慈悲のこころで 支援します。 ・地域における福祉の拠点を目指します。,加工食品（常温）、農産物など,30,賞味期限が１ヶ月以上残っているもの,障害者施設、個人支援、災害支援団体等,"[36.30607, 139.5751145]"
27,特定非営利活動法人 フードバンクとちぎ,栃木県,323-0822,栃木県小山市駅南町 1－12－32,0285-27-5443,foodbanktochigi@gmail.com,http://foodbanktochigi.blog.fc2.com/,誰でも必要な時に食べ物を得ることができ、全ての人が安心して暮らせる社会の実現に貢献したと考えてます。,加工食品（常温）、加工食品（冷蔵）、加工食品（冷凍）、農産物,90,賞味期限が３ヶ月以上残っているものなど,児童養護施設、自立援助ホーム、障害者施設、生活困窮者支援団体等,"[35.075757, 135.2193373]"
28,フードバンク道の駅思川,栃木県,323-0065,栃木県小山市大字下国府塚 25 番地 1,0285-38-2551,shop@michinoekiomoigawa.co.jp,http://www.michinoekiomoigawa.co.jp/,貧困撲滅と食材の有効利用、フードロスの軽減。,農産物,0,主に農産物を扱っており、傷みの程度により判断,生活困窮者支援団体、子ども食堂等,"[35.075757, 135.2193373]"
29,太田市社会支援課 フードバンクおおた,群馬県,373-0025,群馬県太田市熊野町 2 番 8 号,0276-25-0611,foodbankota@sunfield.ne.jp,https://www.city.ota.gunma.jp/005gyosei/0070-006kenko-shakai/foodbank.html,食べられるにもかかわらず処分されてしまう食品等を、企業や個人等から寄贈・提供を受け、生活困窮のため支援を必要としている人に適切に配布し、地域の仕組みとして確立させ、相互扶助の社会づくりを目指す。,加工食品（常温）、長期保存可能な菓子パンなど,60,賞味期限が２ヶ月以上残っているもの,児童養護施設、障害者施設、個人支援、子ども食堂等,"[36.2911561, 139.3754233]"
30,一般社団法人中央ライフ・サポートセンター,群馬県,371-0007,群馬県前橋市上泉町 1852 番地 5,027-269-2501,clsc.rd@gmail.com,http://clsc.web.fc2.com/,廃棄やリサイクルされている商品を、本業を通じた社会貢 献活動として「いわゆる社会的弱者」の支援活動等に提供 していただき、社会的課題を解決して「五方よし」（自分 よし、相手よし、社会よし、孫子よし、地球よし）を実 現。「福祉と食品の有効活用をこっそりささえる」,加工食品（常温）、加工食品（冷蔵）、加工食品（冷凍）、農産物、水産物・畜産物,30,賞味期限が１ヶ月以上残っているもの,児童養護施設、母子生活支援施設、自立援助ホーム、更生支援施設、障害者施設、生活困窮者支援団体、老人施設、グループホーム、学校外学習生活支援団体、子ども食堂等,"[36.3893418, 139.0632826]"
31,フードバンク桐生（桐生市役所福祉課）,群馬県,376-8501,群馬県桐生市織姫町 1－1,0277-46-1111,fukushi@city.kiryu.lg.jp,http://www.city.kiryu.lg.jp/,#N/A,加工食品（常温）,90,賞味期限が３ヶ月以上残っているものなど,障害者施設、個人支援、老人施設、子ども食堂,"[36.4055296, 139.3310209]"
32,特定非営利活動法人 三松会 フードバンク北関東,群馬県,374-0074,群馬県館林市高根町 109,0276-52-8188,kitakantoofb@gmail.com,http://www.sansyoukai.or.jp,身寄りのない方、生活に困まっている方などによりそい支援をする。食品ロスの発生抑制をする。,加工食品（常温）、加工食品（冷蔵）、加工食品（冷凍）、農産物など,30,賞味期限が１ヶ月以上残っているものなど,児童養護施設、母子生活支援施設、シェルター、自立援助ホーム、更生支援施設、障害者施設、生活困窮者支援団体、個人支援、炊き出し、老人施設、グループホーム、災害支援団体、学校外学習生活支援団体、子ども食堂、外国 人支援団体等,"[36.2454338, 139.5421576]"
33,フードバンクいるま,埼玉県,358-0033,埼玉県入間市狭山台 4－20－4,０８０－６５５５－９８０４,foodbankiruma@gmail.com,http://www.maroon.dti.ne.jp/foodbankiruma/,食品ロスの削減と困窮者支援を目的に市民よる市民のための地域密着型のフードバンクを目指している。,加工食品（常温）、農産物など,30,賞味期限が１ヶ月以上残っているもの,障害者施設、生活困窮者支援団体、学校外学習生活支援団体、子ども食堂等,"[35.8358142, 139.3909293]"
34,特定非営利活動法人 フードバンク埼玉,埼玉県,330-0061,埼玉県さいたま市浦和区常盤 6－4－21,048-832-0115,foobbanksaitama@gmail.com,http://www.foodbanksaitama.jp,もったいない、から、ありがとうへ。,加工食品（常温）、加工食品（冷蔵）、加工食品（冷凍）、農産物,60,賞味期限が２ヶ月以上残っているもの,児童養護施設、障害者施設、生活困窮者支援団体、個人支援、災害支援団体、学校外学習生活支援団体、子ども食堂、外国人支援団体等,"[35.861751,139.644066]"
35,ＮＰＯ法人フードバンクネット西埼玉,埼玉県,359-1162,埼玉県所沢市和ケ原 1－166－7,070-5080-3068,fbnws2016@gmail.com,https://www.fbn-nishi-saitama.com,・優しさのプラットホーム「フードバンク」・いつでも食べものがもらえる場所があること。それは「生きる権利」を守ること。・「もったいない」を「ありがとう」へ。,加工食品（常温）、農産物など,30,賞味期限が１ヶ月以上残っているもの,児童養護施設、シェルター、障害者施設、生活困窮者支援団体、個人支援、老人施設、グループホーム、学校外学習生活支援団体、子ども食堂等,"[35.7994271, 139.4687478]"
36,社会福祉法人 和光市社会福祉協議会 和光市くらし・仕事相談センター すたんど・あっぷ和光,埼玉県,351-0104,埼玉県和光市南 1－23－1,048-452-7608,stand-up@wako-shakyo.or.jp,http://www.wako-shakyo.or.jp/,「ＷＩＴＨ～今日より素敵な明日のために～」地域の人々と共に住み慣れたまちで安心して生活することができる 「福祉のまちづくり」目指しています。,加工食品（常温）、農産物,#N/A,#N/A,生活困窮者支援団体、個人支援、子ども食堂,"[35.7817053, 139.6058692]"
37,認定ＮＰＯ法人 グッドネーバーズ・ジャパン,東京都,143-0016,東京都大田区大森北 2－14－2 3F,03-6423-1768,gohan@gnjp.org,https://www.gnjp.org/,ｖｉｓｉｏｎ子どもの笑顔にあふれ誰もが人間らしく生きられる社会。,加工食品（常温）、加工食品（冷蔵）、農産物など,0,加工食品については、賞味期限が２ヶ月以上残っているもの。,個人支援,"[35.561389, 139.716081]"
38,特定非営利活動法人 さんきゅハウス,東京都,190-0021,東京都立川市羽衣町 3－14－13,042-512-7541,sankyuuhausu@tbz.t-com.ne.jp,http://sanq-h.org/,生活困窮者の自立支援。,加工食品（常温）、加工食品（冷凍）、農産物など,90,賞味期限が３ヶ月以上残っているもの,生活困窮者支援団体、個人支援、子ども食堂等,"[35.724463, 139.404766]"
39,認定ＮＰＯ法人 セカンドハーベスト・ジャパン,東京都,111-0053,東京都台東区浅草橋 4－5－1 水田ビル 1F,03-5822-5375,foodbank@2hj.org,http://www.2hj.org/,誰でも十分な食べ物があるようにＰｅｏｐｌｅ ｈａｖｅ ｅｎｏｕｇｈ ｆｏｏｄ,加工食品（常温）、加工食品（冷蔵）、加工食品（冷凍）、農産物,0,都度、案件ごとに判断,児童養護施設、母子生活支援施設、シェルター、自立援助ホーム、更生支援施設、障害者施設、生活困窮者支援団体、個人支援、炊き出し、老人施設、グループホーム、災害支援団体、学校外学習生活支援団体、子ども食堂等,"[35.7106419, 139.79651893909025]"
40,フードバンクいたばし,東京都,174-0063,東京都板橋区前野町 5－41－5,03-3965-2780,gyousou@jcom.home.ne.jp,https://foodbankitabashi.jimdofree.com/,もったいないをおせっかいしておすそわけ。｛代表｝,加工食品（常温）,60,賞味期限が２ヶ月以上残っているもの,児童養護施設、母子生活支援施設、自立援助ホーム、更生支援施設、生活困窮者支援団体、災害支援団体、学校外学習生活支援団体、子ども食堂等,"[35.774143, 139.681209]"
41,特定非営利活動法人 フードバンク狛江,東京都,201-0012,東京都狛江市中和泉 3－12－3 パインハウス狛江 101,03-5497-0272,info@fb-komae.org,https://fb-komae.org/,食の支援を通じて支え合う地域づくり。,加工食品（常温）、農産物,30,賞味期限が１ヶ月以上残っているもの,障害者施設、生活困窮者支援団体、個人支援、炊き出し、老人施設、グループホーム、学校外学習生活支援団体、子ども食堂等,"[35.6327974, 139.57097876891305]"
42,フードバンク立川,東京都,190-0013,東京都立川市富士見町 2－36－47,042-529-8323,fbtachikawa@gmail.com,https://foodbanktachikawa.wordpress.com/,立川市を中心に、フードバンク活動の推進を主として活動し、困窮している市民への支援をしていき、社会的な連帯活動を進めていく。,加工食品（常温）,60,賞味期限が２ヶ月以上残っているもの,個人支援、子ども食堂,"[35.724463, 139.404766]"
43,特定非営利活動法人フードバンクＴＡＭＡ,東京都,191-0062,東京都日野市多摩平 5－3－2 プレジャーガーデン豊田 101,080-6814-3657,foodbank.tama@gmail.com,http://foodbank-tama.com/,本法人は、設立時から子供の貧困対策をメインテーマとし て、フードバンク活動に取り組んできました。,加工食品（常温）、加工食品（冷凍）、農産物など,60,賞味期限が２ヶ月以上残っているもの,児童養護施設、母子生活支援施設、シェルター、自立援助ホーム、更生支援施設、障害者施設、生活困窮者支援団体、個人支援、学校外学習生活支援団体、子ども食堂等,"[35.6610715, 139.4147051]"
44,フードバンク調布,東京都,182-0035,東京都調布市上石原 1－27－8 カフェ侘助,090-8051-3922,info@foodbank-chofu.org,http://www.facebook.com/Foodbank.Chofu,食品ロスを減らし、生活困窮者への支援を通して、食を分かちあい、共に支えあう心豊かな社会を作る。,加工食品（常温）,30,賞味期限が１ヶ月以上残っているもの,児童養護施設、母子生活支援施設、障害者施設、個人支援、老人施設、グループホーム、学校外学習生活支援団体、子ども食堂等,"[35.6506452, 139.5407473]"
45,特定非営利活動法人 フードバンク八王子えがお,東京都,193-0823,東京都八王子市横川町 108－8－11,042-649-7125,fb8egao@gmail.com,http://www.fb8egao.com/,「食で支えよう ひと 地域 未来」困ったときはお互いさまの気持ちで支えあう地域をつくろう。,加工食品（常温）、冷凍パンなど,60,賞味期限が２ヶ月以上残っているもの,児童養護施設、個人支援、グループホーム、子ども食堂等,"[35.660175, 139.283071]"
46,フードバンクみたか,東京都,181-0013,東京都三鷹市下連雀 8 丁目 6-1-103,080-5545-1169,foodbankmitaka@gmail.com,http://www.facebook.com/foodbankmitaka,市場に出すことが出来ない規格外食品などを、企業・農家などから提供してもらい、必要としている福祉施設や生活困窮者に届けるフードバンクシステムを構築するとともに、フードロス削減に向けた運動に協力する。これらの活動を通して、支え合う心豊かな社会をつくることを目的とする。,加工食品（常温）、米など,30,未開封で、賞味期限が１ヶ月以上あるもの。,三鷹市生活・就労支援窓口または三鷹市社会福祉協議会を通じての福祉団体や個人。個人支援、子ども食堂等,"[35.684188, 139.564324]"
47,ＮＰＯ法人ｗｉｓｈ,神奈川県,252-0326,神奈川県相模原市南区磯部 4800－5,080-3472-5859,mikiko555@icloud.com,https://www.sagami-portal.com/hp/dnt10105/,子供たちがしっかり食べて成長し、人生の選択肢を広げられるようにすること。,加工食品（常温）、農産物など,1,賞味期限が１週間以内であっても、賞味期限までの日数が残っているもの,児童養護施設、母子生活支援施設、自立援助ホーム、障害者施設、生活困窮者支援団体、個人支援、老人施設、学校外学習生活支援団体、子ども食堂等,"[35.56559, 139.236215]"
48,特定非営利活動法人 神奈川フードバンク・プラス,神奈川県,231-0843,横浜市中区本郷町1丁目2  横浜上野町教会,090-3107-6477,jimukyoku@foodbankplus-kanagawa.org,http://foodbankplus-kanagawa.org/,理念：食の支援を入り口に「おたがいさま」が当たり前になる「ささえあい」のネットワークづくりを目指します。目的：生活困窮者、高齢者、ひとり親家庭及び、その困窮する実態に陥るおそれのある人々に対して、他のフードバンク団体と協力しながら、食品の提供及び生活支援に関する事業を行い、食品ロス削減を通じて、地域社会の福祉増進に寄与する事を目的とする。,加工食品（常温）など,30,賞味期限が１ヶ月以上残っているもの,シェルター、自立援助ホーム、更生支援施設、障害者施設、生活困窮者支援団体、個人支援、炊き出し、グループホーム、災害支援団体、学校外学習生活支援団体、子ども食堂、外国人支援団体等,"[35.444991, 139.636768]"
49,公益社団法人 フードバンクかながわ,神奈川県,236-0051,神奈川県横浜市金沢区富岡東 2－4－45,045-349-5803,info@fb-kanagaw.com,https://www.fb-kanagawa.com,私たちは、個人や団体、企業から消費するには十分安全であるにもかかわらず廃棄されてしまう食料の寄贈を受け、支援を必要としている生活困窮者等に非営利団体を通じて適切に配るフードバンクシステムの確立をめざします。,加工食品（常温）,60,賞味期限が２ヶ月以上残っているもの,児童養護施設、母子生活支援施設、自立援助ホーム、更生支援施設、障害者施設、生活困窮者支援団体、炊き出し、災害支援団体、学校外学習生活支援団体、子ども食堂等,"[35.444991, 139.636768]"
50,フードバンクかわさき（非営利型一般社団法人ファース ト・ステップ）,神奈川県,214-0012,神奈川県川崎市多摩区中野島 6－21－2 マルマスハイム 1F,044-440-4444,info@fb-k.jp,http://fb-k.jp,「餓死や生活苦からの自殺をなくすために」「生活が苦しい人の食と心を支えるフードバンク」。,加工食品（常温）、加工食品（冷蔵）、加工食品（冷凍）、農産物、水産物・畜産物、日用品など,30,賞味期限が１ヶ月以上残っているものなど,母子生活支援施設、シェルター、生活困窮者支援団体、個人支援、災害支援団体、学校外学習生活支援団体等,"[35.5305307, 139.7028012]"
51,特定非営利活動法人 フードバンクひらつか,神奈川県,254-0911,神奈川県平塚市山下 12－1 リゾート高麗 101,0463-79-5824,hiratuka.foodbank@gmail.com,http://foodbank-hiratsuka.com/,食品ロスを目的として企業、一般家庭などから食品を頂き、この食品をひとり親家庭や行政などから依頼がある生活困窮者に対して、無償提供することで貧困問題の解決を目指します。,加工食品（常温）、加工食品（冷凍）、農産物,60,賞味期限が２ヶ月以上残っているもの,自立援助ホーム、生活困窮者支援団体、個人支援、炊き出し、学校外学習生活支援団体、子ども食堂等,"[35.3274105, 139.3492322]"
52,ＮＰＯフードバンク横浜,神奈川県,221-0052,神奈川県横浜市神奈川区栄町 16－1－304,045-512-4965,thanks@fbyokohama.jp,https://www.fbyokohama.jp/,だれ一人おきざりにしない。,加工食品（常温）、加工食品（冷蔵）、農産物,30,賞味期限が１ヶ月以上残っているもの,児童養護施設、母子生活支援施設、生活困窮者支援団体、個人支援、炊き出し、老人施設、子ども食堂等,"[35.444991, 139.636768]"
